Project,"Link to project",Category,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"Fabrication of High Performance Solar Cells",https://arena.gov.au/projects/fabrication-of-high-performance-solar-cells/,"Solar energy",$36k,$36k,"University of New South Wales","Post Fellowship Doctorate",01/07/2013,"Kensington, New South Wales",None,Past
"AGL Solar Project",https://arena.gov.au/projects/agl-solar-project/,"Large-scale solar",$166.7m,$439.08m,"AGL Energy Limited (AGL)","Australian Solar Institute",05/06/2013,"Broken Hill and Nyngan, New South Wales","NSW Office of Environment and Heritage, Australian Renewable Energy Agency",Current
"Lateral Optimisation of Dye-Sensitised Thin Film Photovoltaics",https://arena.gov.au/projects/lateral-optimisation-of-dye-sensitised-thin-film-photovoltaics/,"Solar energy",$329k,$329k,CSIRO,"Post Fellowship Doctorate",23/05/2013,"Mayfield West, New South Wales",None,Past
"Reducing the Cost of Solar Power by Thin-Film Engineering Strategies",https://arena.gov.au/projects/reducing-the-cost-of-solar-power-by-thin-film-engineering-strategies/,"Solar energy",$347k,$347k,"Australian National University","Post Fellowship Doctorate",01/05/2013,"Australian Capital Territory, Canberra",None,Past
"Guiding the Rational Design of Organic Dye Sensitisers",https://arena.gov.au/projects/guiding-the-rational-design-of-organic-dye-sensitisers/,"Solar energy",$339k,$339k,"University of Melbourne","Post Fellowship Doctorate",01/05/2013,"Parkville, Victoria",None,Past
"Investigation of Aluminium Alloys",https://arena.gov.au/projects/investigation-of-aluminium-alloys/,"Concentrated solar thermal",$10k,$10k,"University of South Australia","Post Fellowship Doctorate",01/05/2013,"Adelaide, South Australia","None ",Past
"Flexible Barrier Encapsulation for Printed Solar Cells",https://arena.gov.au/projects/flexible-barrier-encapsulation-for-printed-solar-cells/,"Solar energy",$332k,$332k,CSIRO,"Post Fellowship Doctorate",30/04/2013,"Clayton, Victoria",None,Past
"Development of Low Bandgap Polymeric Acceptors",https://arena.gov.au/projects/development-of-low-bandgap-polymeric-acceptors/,"Solar energy",$349k,$349k,"The University of Queensland","Post Fellowship Doctorate",28/04/2013,"Brisbane, Queensland",None,Past
"High Efficiency N-Type Silicon Solar Cells",https://arena.gov.au/projects/high-efficiency-n-type-silicon-solar-cells/,"Solar energy",$370k,$370k,"Australian National University","Power System Services",24/04/2013,"Australian Capital Territory, Canberra",None,Past
"Thermal Evaporation of High Efficiency Solar Cells",https://arena.gov.au/projects/thermal-evaporation-of-high-efficiency-solar-cells/,"Solar energy",$330k,$330k,"University of New South Wales","Post Fellowship Doctorate",24/04/2013,"Kensington, New South Wales",None,Past
"Nanosphere Lithography for Controlled Fabrication of Plasmonic Films",https://arena.gov.au/projects/nanosphere-lithography-for-controlled-fabrication-of-plasmonic-films/,"Solar energy",$216k,$216k,"University of New South Wales","Post Fellowship Doctorate",24/04/2013,"Kensington, New South Wales",None,Past
"Characterisation of Light Distribution within Silicon Solar Cells",https://arena.gov.au/projects/characterisation-of-light-distribution-within-silicon-solar-cells/,"Solar energy",$330k,$330k,"University of New South Wales","Post Fellowship Doctorate",24/04/2013,"Kensington, New South Wales",None,Past
"Singlet Heterofission in Organic Dimers",https://arena.gov.au/projects/singlet-heterofission-in-organic-dimers/,"Solar energy",$325k,$325k,"University of New South Wales","Post Fellowship Doctorate",24/04/2013,"Kensington, New South Wales",None,Past
"Generation Investment and Policy Support Frameworks",https://arena.gov.au/projects/generation-investment-and-policy-support-frameworks/,"Concentrated solar thermal",$396k,$396k,"University of New South Wales","Post Fellowship Doctorate",24/04/2013,"Kensington, New South Wales",None,Past
"Novel Solution-Processed Multilayer D-I-A Organic Solar Cells",https://arena.gov.au/projects/novel-solution-processed-multilayer-d-i-a-organic-solar-cells/,"Solar energy",$329k,$329k,CSIRO,"Post Fellowship Doctorate",19/04/2013,"Clayton, Victoria",None,Past
"Integration of High Efficient Photon Up-Conversion Systems",https://arena.gov.au/projects/integration-of-high-efficient-photon-up-conversion-systems/,"Solar energy",$374k,$374k,"The University of Wollongong","Post Fellowship Doctorate",04/04/2013,"New South Wales, Wollongong",None,Past
"High Quality Laser Doping for Solar Cells",https://arena.gov.au/projects/high-quality-laser-doping-for-solar-cells-through-improved-characterisation-techniques/,"Solar energy",$447k,$1.22m,"Australian National University (ANU)","Australian Solar Institute",01/04/2013,"Australian Capital Territory",None,Past
"Advanced & Industry-Ready Photo-Characterisation of Silicon Bricks",https://arena.gov.au/projects/advanced-industry-ready-photo-characterisation-of-silicon-bricks/,"Solar energy",$330k,$330k,"University of New South Wales","Post Fellowship Doctorate",01/04/2013,"Kensington, New South Wales",None,Past
"Development of Novel Nanocluster-Based Buffer Layers",https://arena.gov.au/projects/development-of-novel-nanocluster-based-buffer-layers/,"Solar energy",$330k,$330k,"University of New South Wales","Post Fellowship Doctorate",31/03/2013,"Kensington, New South Wales",None,Past
"Moree Solar Farm",https://arena.gov.au/projects/moree-solar-farm/,"Large-scale solar",$101.7m,$200.83m,"Moree Solar Farm Pty Ltd","Advancing Renewables Program",28/03/2013,"Moree, New South Wales","Fotowatio Renewable Ventures, Denham Capital",Past
"Transparent and Conductive Graphene/Polymer Thin Films",https://arena.gov.au/projects/transparent-and-conductive-graphene-polymer-thin-films/,"Solar energy",$336k,$336k,"The University of Melbourne","Post Fellowship Doctorate",03/03/2013,"Melbourne, Victoria",None,Past
"Inkjet Enabled Silicon Solar Cell Fabrication",https://arena.gov.au/projects/inkjet-enabled-silicon-solar-cell-fabrication/,"Solar energy",$396k,$396k,"University of New South Wales","Post Fellowship Doctorate",01/03/2013,"Kensington, New South Wales",None,Past
"Singlet Exciton Fission and Multiexciton Harvesting in Organic Solar Cells",https://arena.gov.au/projects/singlet-exciton-fission-and-multiexciton-harvesting-in-organic-solar-cells/,"Solar energy",$349k,$349k,"Queensland University of Technology","Post Fellowship Doctorate",01/03/2013,"Brisbane, Queensland",None,Past
"Nanostructures Design for Light Trapping",https://arena.gov.au/projects/nanostructures-design-for-light-trapping/,"Solar energy",$242k,$242k,"Australian National University","Post Fellowship Doctorate",01/03/2013,"Australian Capital Territory, Canberra",None,Past
"Photovoltaic-Powered Ultraviolet Light Emitting Diode Water",https://arena.gov.au/projects/photovoltaic-powered-ultraviolet-light-emitting-diode-water/,"Solar energy",$32k,$32k,"University of New South Wales","Post Fellowship Doctorate",01/03/2013,"Kensington, New South Wales",None,Past
"Impact of Spin on Fundamental Optoelectronic Processes",https://arena.gov.au/projects/impact-of-spin-on-fundamental-optoelectronic-processes/,"Solar energy",$31k,$31k,"University of New South Wales","Post Fellowship Doctorate",01/03/2013,"Kensington, New South Wales",None,Past
"Producing Advanced Drop-In Fuels for Australia",https://arena.gov.au/projects/biomass-to-bio-crude-producing-advanced-drop-in-fuels-for-australia/,"Bioenergy / Energy from waste",$5.42m,$8.21m,"Licella Pty Ltd","Advancing Renewables Program",11/02/2013,"New South Wales, North Sydney",None,Past
"UltraBattery Distributed PV Support",https://arena.gov.au/projects/ultrabattery-distributed-pv-support-and-ultrabattery-for-remote-area-power-supply/,"Battery storage",$583k,$1.46m,"Smart Storage Pty Ltd T/A Ecoult","Emerging Renewables Program",07/02/2013,"New South Wales, Sydney",None,Past
"Copper-Zinc-Tin-Sulfide Thin-Film Solar Cell",https://arena.gov.au/projects/copper-zinc-tin-sulfide-thin-film-solar-cell/,"Solar energy",$51k,$51k,"University of New South Wales","Post Fellowship Doctorate",04/02/2013,"Kensington, New South Wales",None,Past
"Tools for Design and Scale-up of Solar Thermochemical Reactors",https://arena.gov.au/projects/tools-for-design-and-scale-up-of-solar-thermochemical-reactors/,"Concentrated solar thermal",$1.08m,$5.32m,"University of NSW","Australian Solar Institute",01/02/2013,"New South Wales",None,Past
"Future Fuels Program",https://arena.gov.au/projects/future-fuels-program/,,$0k,$0k,,,01/02/2013,,,Past
"Advancing Marine Microalgae Biofuel to Commercialisation",https://arena.gov.au/projects/advancing-marine-microalgae-biofuel-to-commercialisation/,"Bioenergy / Energy from waste",$4.4m,$10.74m,"Muradel Pty Ltd","Emerging Renewables Program",30/01/2013,"South Australia, Western Australia, Whyalla",None,Past
"Australian Solar Energy Forecasting System - Phase 1",https://arena.gov.au/projects/australian-solar-energy-forecasting-system-asefs-phase-1/,"Solar energy",$3.09m,$7.59m,CSIRO,"Australian Solar Institute",30/01/2013,"Australian Capital Territory",None,Past
"Conversion of Coal to Hybrid Solar Thermal/Gas",https://arena.gov.au/projects/feasibility-study-into-conversion-of-collinsville-power-station-from-coal-to-hybrid-solar-thermalgas/,"Concentrated solar thermal",$2.15m,$5.25m,"RATCH-Australia Corporation Limited","Emerging Renewables Program",07/01/2013,"Collinsville, Queensland","Transfield Infrastructure Pty Ltd, University of Queensland",Past
"High Efficiency Low Cost Silicon Cells",https://arena.gov.au/projects/high-efficiency-low-cost-silicon-cells/,"Solar energy",$355k,$355k,"Australian National University","Post Fellowship Doctorate",07/01/2013,"Australian Capital Territory, Canberra",None,Past
"Time-Resolved Microspectroscopy of Conjugated Polymer Films",https://arena.gov.au/projects/time-resolved-microspectroscopy-of-conjugated-polymer-films/,"Solar energy",$49k,$49k,"The University of Melbourne","Post Fellowship Doctorate",07/01/2013,"Parkville, Victoria",None,Past
"Institutional Rigidity in the National Electricity Market",https://arena.gov.au/projects/institutional-rigidity-in-the-national-electricity-market/,"System security and reliability",$112k,$112k,"Australian National University","Post Fellowship Doctorate",07/01/2013,"Australian Capital Territory, Canberra",None,Past
"Hybrid PV-T Static Micro Concentrators",https://arena.gov.au/projects/hybrid-pv-t-static-micro-concentrators/,"Solar energy",$210k,$210k,"Australian National University","Post Fellowship Doctorate",01/01/2013,"Australian Capital Territory, Canberra",None,Past
"Integration of Renewables into Power Systems",https://arena.gov.au/projects/integration-of-renewables-into-power-systems/,"System security and reliability",$7k,$7k,AECOM,"Post Fellowship Doctorate",31/12/2012,"New South Wales, Potts Point","None ",Past
"Practical Realisation of a Hot Carrier Solar Cell Using Hafnium Nitride",https://arena.gov.au/projects/practical-realisation-of-a-hot-carrier-solar-cell-using-hafnium-nitride/,"Solar energy",$45k,$45k,"University of new South Wales","Post Fellowship Doctorate",21/12/2012,"Kensington, New South Wales",None,Past
"Ultra-thin Silicon Solar Cells",https://arena.gov.au/projects/ultra-thin-silicon-solar-cells/,"Solar energy",$51k,$51k,"University of New South Wales","Post Fellowship Doctorate",21/12/2012,"Kensington, New South Wales",None,Past
"Optimising Concentrated Solar Thermal Operation",https://arena.gov.au/projects/optimising-concentrated-solar-thermal-operation/,"Concentrated solar thermal",$49k,$49k,"University of New South Wales","Post Fellowship Doctorate",21/12/2012,"Kensington, New South Wales",None,Past
"High Temperature Stainless Steels for Concentrated Solar Power",https://arena.gov.au/projects/high-temperature-stainless-steels-for-concentrated-solar-power/,"Concentrated solar thermal",$123k,$123k,"University of Sydney","Post Fellowship Doctorate",21/12/2012,"Camperdown, New South Wales",None,Past
"Novel Texture Processes for the Latest Industrial Wafer",https://arena.gov.au/projects/novel-texture-processes-for-the-latest-industrial-wafer-and-advanced-cell-concepts/,"Solar energy",$475k,$1.3m,"Suntech R&D Australia","Australian Solar Institute",20/12/2012,"New South Wales, Sydney",None,Past
"Ultrafast Spectroscopy for Third Generation Photovoltaics",https://arena.gov.au/projects/ultrafast-spectroscopy-for-third-generation-photovoltaics/,"Solar energy",$352k,$352k,"University of Sydney","Post Fellowship Doctorate",15/12/2012,"Camperdown, New South Wales",None,Past
"ASTRI Australian Solar Thermal Research Institute",https://arena.gov.au/projects/astri-australian-solar-thermal-research-institute/,"Concentrated solar thermal",$49.95m,$102.21m,CSIRO,"Australian Solar Institute",12/12/2012,"New South Wales","Australian National University, The University of Queensland, The University of Adelaide, Queensland University of Technology, University of South Australia, Flinders University",Current
"Utility-Scale Solar Installations",https://arena.gov.au/projects/utility-scale-solar-installations-social-license-to-operate-in-australia/,"Solar energy",$153k,$153k,"Ipsos Social Research Institute","Australian Solar Institute",12/12/2012,"Artarmon, New South Wales",None,Past
"Micro Urban Solar Integrated Concentrators (MUSIC)",https://arena.gov.au/projects/micro-urban-solar-integrated-concentrators-music/,"Concentrated solar thermal",$4.92m,$13.09m,"Royal Melbourne Institute of Technology (RMIT)","Australian Solar Institute",12/12/2012,Victoria,None,Past
"New Photocathodes for Solar Hydrogen Production",https://arena.gov.au/projects/new-photocathodes-for-solar-hydrogen-production/,"Solar energy",$500k,$1.07m,"Ian Wark Research Institute, University of South Australia","Emerging Renewables Program",12/12/2012,"Adelaide, South Australia",None,Past
"Development of Commercially Viable High Efficiency Solar Cells and Module",https://arena.gov.au/projects/development-of-commercially-viable-high-efficiency-solar-cells-and-module/,"Solar energy",$422k,$422k,"University of New South Wales","Post Fellowship Doctorate",12/12/2012,"Kensington, New South Wales",None,Past
"Model Predictive Control of Thermal Components",https://arena.gov.au/projects/model-predictive-control-of-thermal-components/,"Concentrated solar thermal",$360k,$360k,"Australian National University","Post Fellowship Doctorate",12/12/2012,"Australian Capital Territory, Canberra",None,Past
"Australian Centre for Advanced Photovoltaics (ACAP)",https://arena.gov.au/projects/australian-centre-for-advanced-photovoltaics-acap/,"Solar energy",$128.99m,$314.17m,"University of NSW","Australian Solar Institute",03/12/2012,"New South Wales, Sydney",None,Current
"Photothermal Deflection Spectroscopy",https://arena.gov.au/projects/photothermal-deflection-spectroscopy/,"Solar energy",$330k,$330k,"University of New South Wales","Post Fellowship Doctorate",30/11/2012,"Kensington, New South Wales",None,Past
"Advanced Biomass Gasification Technology",https://arena.gov.au/projects/advanced-biomass-gasification-technology/,"Bioenergy / Energy from waste",$4.16m,$7.32m,"Renergi Pty Ltd","Emerging Renewables Program",09/11/2012,"Perth, Western Australia",None,Past
"Forecasting Distributed Solar Energy Production",https://arena.gov.au/projects/forecasting-distributed-solar-energy-production/,"Solar energy",$889k,$2.71m,"Australian National University (ANU)","Australian Solar Institute",08/11/2012,"Australian Capital Territory",None,Past
"Machine-Learning-Based Forecasting of Distributed Solar Energy Production",https://arena.gov.au/projects/machine-learning-based-forecasting-distributed-solar-energy-production/,"Solar energy",$889k,$2.71m,"Australian National University","Australian Solar Institute",08/11/2012,"Australian Capital Territory, Canberra",Telstra,Past
"Improved Measurement of Contaminants in Silicon Solar Cells",https://arena.gov.au/projects/improved-measurement-of-contaminants-in-silicon-solar-cells/,"Solar energy",$403k,$403k,"University of NSW","Australian Solar Institute",05/11/2012,"New South Wales",None,Past
"High Efficiency Very Low Thermal Budget Silicon Solar Cells",https://arena.gov.au/projects/high-efficiency-very-low-thermal-budget-silicon-solar-cells/,"Solar energy",$413k,$413k,"Australian National University","Post Fellowship Doctorate",05/11/2012,"Australian Capital Territory, Canberra",None,Past
"Development of Combined Cycle Using Solar Reformed Gas",https://arena.gov.au/projects/development-of-combined-cycle-using-solar-reformed-gas/,"Concentrated solar thermal",$346k,$711k,CSIRO,"Australian Solar Institute",01/11/2012,"New South Wales",None,Past
"Copper-Zinc-Tin-Sulphide on Silicon Multi-Junction Solar Cells",https://arena.gov.au/projects/low-cost-high-efficiency-copper-zinc-tin-sulphide-czts-on-silicon-multi-junction-solar-cells/,"Solar energy",$2.61m,$7.79m,"University of NSW","Australian Solar Institute",01/11/2012,"New South Wales",None,Past
"Plug and Play Solar Power",https://arena.gov.au/projects/plug-and-play-solar-power/,"Solar energy",$1.29m,$2.91m,CSIRO,"Australian Solar Institute",01/11/2012,"New South Wales",None,Past
"Oxide Semiconductors for Solar Energy Conversion",https://arena.gov.au/projects/oxide-semiconductors-for-solar-energy-conversion/,"Solar energy",$277k,$277k,"University of Western Sydney","Post Fellowship Doctorate",01/11/2012,"New South Wales, Penrith",None,Past
"Dynamic PCM Systems for High Temperature Thermal Storage",https://arena.gov.au/projects/dynamic-pcm-systems-for-high-temperature-thermal-storage/,"System security and reliability",$289k,$289k,"University of South Australia","Australian Solar Institute",01/11/2012,"Adelaide, South Australia",None,Past
"Harnessing Energy Losses in Organic Solar Cells",https://arena.gov.au/projects/harnessing-energy-losses-in-organic-solar-cells/,"Solar energy",$333k,$333k,CSIRO,"Post Fellowship Doctorate",01/11/2012,"Mayfield West, New South Wales",None,Past
"High Efficiency Mono-Crystalline Thin-Si Solar Cells",https://arena.gov.au/projects/high-efficiency-mono-crystalline-thin-si-solar-cells/,"Solar energy",$80k,$80k,"University of New South Wales","Post Fellowship Doctorate",01/11/2012,"Kensington, New South Wales",None,Past
"Metal-Assisted Chemical Etching of Sliver Solar Cells",https://arena.gov.au/projects/metal-assisted-chemical-etching-of-sliver-solar-cells/,"Solar energy",$356k,$356k,"Australian National University","Post Fellowship Doctorate",01/11/2012,"Australian Capital Territory, Canberra",None,Past
"Improving the Accessibility of the System Advisor Model",https://arena.gov.au/projects/improving-the-accessibility-of-the-system-advisor-model-for-australian-concentrating-solar-power-users/,"Concentrated solar thermal",$73k,$73k,"Australian Solar Thermal Energy Association (AUSTELA)","Australian Solar Institute",29/10/2012,"New South Wales",None,Past
"Pilot-Scale Plant for the Production of Solar Anti-Reflection Coatings",https://arena.gov.au/projects/pilot-scale-plant-for-the-production-of-solar-anti-reflection-coatings/,"Solar energy",$1.26m,$4.8m,"Brisbane Materials Technology Pty Ltd","Australian Solar Institute",27/10/2012,Queensland,None,Past
"Power Loss Analysis via Photoluminescence Imaging",https://arena.gov.au/projects/power-loss-analysis-via-photoluminescence-imaging/,"Solar energy",$33k,$33k,"University of New South Wales","Post Fellowship Doctorate",23/10/2012,"Kensington, New South Wales",None,Past
"High Efficiency Interdigitated Back-Contact Silicon Solar Cells",https://arena.gov.au/projects/high-efficiency-interdigitated-back-contact-silicon-solar-cells/,"Solar energy",$47k,$47k,"Australian National University","Post Fellowship Doctorate",23/10/2012,"Australian Capital Territory, Canberra",None,Past
"Negatively-Charged Dielectric Films for Surface Passivation",https://arena.gov.au/projects/negatively-charged-dielectric-films-for-surface-passivation/,"Solar energy",$124k,$124k,"Australian National University","Post Fellowship Doctorate",23/10/2012,"Australian Capital Territory, Canberra",None,Past
"Fabrication of a New Cost Effective High Efficiency Solar Cell Structure",https://arena.gov.au/projects/fabrication-of-a-new-cost-effective-high-efficiency-solar-cell-structure/,"Solar energy",$111k,$111k,"University of New South Wales","Post Fellowship Doctorate",23/10/2012,"Kensington, New South Wales",None,Past
"Modelling and Applications of Advanced Thermal Storage Materials",https://arena.gov.au/projects/modelling-and-applications-of-advanced-thermal-storage-materials/,"Solar energy",$49k,$49k,"University of Newcastle","Post Fellowship Doctorate",23/10/2012,"New South Wales, Newcastle",None,Past
"Role of Spin in Triplet-Triplet Annihilation Upconversion",https://arena.gov.au/projects/role-of-spin-in-triplet-triplet-annihilation-upconversion/,"Solar energy",$70k,$70k,"University of New South Wales","Post Fellowship Doctorate",23/10/2012,"Kensington, New South Wales",None,Past
"Fast Response Dispatchable Thermal Storage for High Temperature CSP",https://arena.gov.au/projects/fast-response-dispatchable-thermal-storage-for-high-temperature-csp/,"Solar energy",$395k,$395k,"University of South Australia","Post Fellowship Doctorate",23/10/2012,"Adelaide, South Australia",None,Past
"High-Efficiency Interdigitated Back-Contact Silicon Solar Cells",https://arena.gov.au/projects/high-efficiency-interdigitated-back-contact-silicon-solar-cells-with-advanced-fabrication-techniques/,"Solar energy",$378k,$378k,"Australian National University","Post Fellowship Doctorate",17/10/2012,"Australian Capital Territory, Canberra",None,Past
"Model for Community-Owned Solar",https://arena.gov.au/projects/model-for-community-owned-solar/,"Solar energy",$15k,$15k,"City of Campbelltown and Local Government Association of South Australia","Australian Solar Institute",03/10/2012,"South Australia",None,Past
"Light Trapping for Tandem Solar Cells",https://arena.gov.au/projects/light-trapping-for-tandem-solar-cells/,"Solar energy",$284k,$284k,"Australian National University","Post Fellowship Doctorate",01/10/2012,"Australian Capital Territory, Canberra",None,Past
"Highly Efficient and Stable Photoluminescent Nanocrystal Ink",https://arena.gov.au/projects/highly-efficient-and-stable-photoluminescent-nanocrystal-ink/,"Solar energy",$347k,$347k,"Swinburne University of Technology","Post Fellowship Doctorate",01/10/2012,"Hawthorn, Victoria",None,Past
"Energy Yield of Photovoltaic Power Systems",https://arena.gov.au/projects/energy-yield-of-photovoltaic-power-systems/,"Solar energy",$109k,$109k,CSIRO,"Post Fellowship Doctorate",01/10/2012,"Mayfield West, New South Wales",None,Past
"Wizard Power Big Dish Upgrade",https://arena.gov.au/projects/wizard-power-big-dish-upgrade/,"Concentrated solar thermal",$8k,$8k,"Wizard Power","Post Fellowship Doctorate",30/09/2012,"Australian Capital Territory, Turner",None,Past
"Improving Translation Models for Predicting Energy Yields",https://arena.gov.au/projects/improving-translation-models-for-predicting-the-energy-yield-of-photovoltaic-pv-power-systems/,"Solar energy",$1.31m,$3.19m,CSIRO,"Australian Solar Institute",12/09/2012,"New South Wales","National Renewable Energy Laboratory (NREL), Desert Knowledge Australia Solar Centre and Lend Lease",Past
"Integrated Solar Radiation Data Sources over Australia",https://arena.gov.au/projects/integrated-solar-radiation-data-sources-over-australia/,"Solar energy",$678k,$1.4m,CSIRO,"Australian Solar Institute",01/09/2012,"Australian Capital Territory","National Renewable Energy Laboratory (NREL) and the Bureau of Meteorology (BoM)",Past
"Climate-Based PV Performance and Reliability",https://arena.gov.au/projects/climate-based-pv-performance-and-reliability/,"Solar energy",$268k,$579k,"Australian Photovoltaic Institute (APVI) (participants University of NSW, CAT Projects and Murdoch University)","Australian Solar Institute",01/09/2012,"New South Wales",None,Past
"Distributed Energy Market",https://arena.gov.au/projects/a-distributed-energy-market-consumer-and-utility-interest-and-the-regulatory-requirements/,"Distributed energy resources",$174k,$313k,"Australian Photovoltaic Institute (APVI)","Australian Solar Institute",01/09/2012,"New South Wales",None,Past
"Reservoir Quality in Sedimentary Geothermal Resources",https://arena.gov.au/projects/reservoir-quality-in-sedimentary-geothermal-resources/,"Geothermal energy",$1.25m,$3.5m,"South Australian Centre for Geothermal Energy Research (SACGER) and the University of Adelaide","Emerging Renewables Program",01/09/2012,"Adelaide, South Australia","CSIRO, South Australian Department of State Development (formerly DMITRE), Geodynamics Ltd, Raya Group Ltd (Formerly Panax Geothermal Ltd), South Australian Museum",Past
"Development of an Australian Solar Map",https://arena.gov.au/projects/development-of-an-australian-solar-map/,"Solar energy",$443k,$588k,"Australian Photovoltaic Institute (participants University of NSW, CAT Projects, Sunwiz, SMA)","Australian Solar Institute",01/09/2012,"New South Wales",None,Past
"Solar Resource Mapping Project",https://arena.gov.au/projects/solar-resource-mapping-project/,"Solar energy",$443k,$588k,"Geoscience Australia","Australian Solar Institute",01/09/2012,"New South Wales",None,Past
"Cost Effective Silicon Solar Cells",https://arena.gov.au/projects/cost-effective-silicon-solar-cells/,"Solar energy",$338k,$338k,"Australian National University","Post Fellowship Doctorate",01/09/2012,"Australian Capital Territory, Canberra",None,Past
"Colloidal Nanoparticle Solar Cells",https://arena.gov.au/projects/colloidal-nanoparticle-solar-cells/,"Solar energy",$327k,$327k,"University of New South Wales","Post Fellowship Doctorate",12/07/2012,"Kensington, New South Wales",None,Past
"Plasmonic Rear Reflectors for Solar Cells",https://arena.gov.au/projects/plasmonic-rear-reflectors-for-solar-cells/,"Solar energy",$370k,$370k,"University of New South Wales","Post Fellowship Doctorate",12/07/2012,"Kensington, New South Wales",None,Past
"Hybrid Concentrating Solar Thermal Systems",https://arena.gov.au/projects/hybrid-concentrating-solar-thermal-systems-for-large-scale-applications/,"Concentrated solar thermal",$520k,$1.07m,CSIRO,"Australian Solar Institute",01/07/2012,"Victoria, Wendouree",None,Past
"Solar Hybrid Fuels",https://arena.gov.au/projects/solar-hybrid-fuels/,"Concentrated solar thermal",$1.63m,$3.56m,CSIRO,"Australian Solar Institute",01/07/2012,"New South Wales, Newcastle",None,Past
"Solar Energy Management System for Utilities",https://arena.gov.au/projects/solar-energy-management-system-for-utilities/,"Solar energy",$225k,$665k,CSIRO,"Australian Solar Institute",01/07/2012,"Queensland, Rowes Bay",None,Past
"BPS bioWAVE Ocean Pilot at Port Fairy",https://arena.gov.au/projects/biowave-ocean-pilot-at-port-fairy/,"Ocean energy",$11.54m,$23.78m,"BioPower Systems Pty Ltd","Emerging Renewables Program",28/06/2012,"Port Fairy, Victoria",None,Past
"Potential Network Benefits of CST Power",https://arena.gov.au/projects/potential-network-benefits-of-csp-in-the-nem/,"Concentrated solar thermal",$180k,$271k,"Australian Solar Thermal Energy Association (AUSTELA)","Emerging Renewables Program",28/06/2012,"New South Wales, Sydney",None,Past
"Integrated PV Solar Roofing",https://arena.gov.au/projects/integrated-pv-solar-roofing/,"Solar energy",$2.28m,$5.05m,"BlueScope Steel Limited","Emerging Renewables Program",27/06/2012,"New South Wales, Sydney, Wollongong","Invetech, RESA",Past
"Generating Renewable Energy from Almond Waste",https://arena.gov.au/projects/generating-renewable-energy-from-almond-waste/,"Bioenergy / Energy from waste",$32k,$47k,"Almond Board of Australia Inc","Emerging Renewables Program",27/06/2012,"Berri, South Australia","GreenFusion, Green Ochre, EconSearch",Past
"Oceanlinx 1MW Commercial Wave Energy Demonstrator",https://arena.gov.au/projects/oceanlinx-1mw-commercial-wave-energy-demonstrator/,"Ocean energy",$3.94m,$6.58m,Oceanlinx,"Emerging Renewables Program",27/06/2012,"Port MacDonnell, South Australia","OEC Pty Ltd, Strategic formwork, Techport, COOE Pty Ltd, ACOR, ABB, VACON, Power & Drive Solutions, Broens Ltd",Past
"Plasmonic Light Trapping for Solar Cells",https://arena.gov.au/projects/plasmonic-light-trapping-for-solar-cells/,"Solar energy",$109k,$109k,"University of New South Wales","Post Fellowship Doctorate",27/06/2012,"Kensington, New South Wales",None,Past
"Effect of Nano-Size Structures & Composition on Solar Water Disinfection",https://arena.gov.au/projects/effect-of-nano-size-structures-composition-on-solar-water-disinfection/,"Solar energy",$107k,$107k,"University of Western Sydney","Post Fellowship Doctorate",26/06/2012,"Kingswood, New South Wales",None,Past
"Hybridisation of Concentrated Solar Thermal",https://arena.gov.au/projects/hybridisation-of-concentrated-solar-thermal-with-carbon-capture-and-storage/,"Concentrated solar thermal",$667k,$1.85m,CSIRO,"Australian Solar Institute",19/06/2012,"New South Wales, Newcastle",None,Past
"Least-Cost Carbon Abatement Modelling",https://arena.gov.au/projects/least-cost-carbon-abatement-modelling/,"Renewables for industry",$1.03m,$1.38m,"University of Melbourne","Emerging Renewables Program",14/06/2012,"Melbourne, Victoria","University of NSW, Australian Energy market Operator, Bureau of Meteorology, GE and Market Reform",Past
"Achieving Cost-Affective Abatement",https://arena.gov.au/projects/achieving-cost-effective-abatement-australian-electricity-generation/,"Hybrid technologies",$1.03m,$1.03m,"University of Melbourne","Advancing Renewables Program",14/06/2012,Melbourne,"University of NSW",Past
"Daly River Solar Research Project",https://arena.gov.au/projects/daly-river-solar-research-project/,"Solar energy",$462k,$854k,"Power and Water Corporation","Australian Solar Institute",07/06/2012,"Darwin, Northern Territory",None,Past
"High Efficiency, Multi-Junction CPV Solar Cells",https://arena.gov.au/projects/high-efficiency-multi-junction-cpv-solar-cells-on-low-cost-large-area-silicon-substrates/,"Solar energy",$1.2m,$4.36m,"Solar Systems Pty Ltd","Australian Solar Institute",02/06/2012,"Abbotsford, Victoria",None,Past
"Next Generation Crystalline Silicon on Glass Modules",https://arena.gov.au/projects/next-generation-crystalline-silicon-on-glass-modules/,"Solar energy",$1.17m,$5.34m,"University of NSW","Australian Solar Institute",01/06/2012,"New South Wales, Sydney","Suntech R&D Australia",Past
"Central Receiver CPV Pilot Project Stage 2",https://arena.gov.au/projects/central-receiver-cpv-pilot-project-stage-2/,"Solar energy",$1.75m,$3.63m,"RayGen Resources Pty Ltd","Australian Solar Institute",17/05/2012,"New South Wales, Newbridge",None,Past
